name,brand,category,manufacturer,price,os,weight,dimensions
Volt Stride Pro,Volt Mobile,Smartphone,Volt Mobile,999,ArenaOS 15,195,162.8 x 77.6 x 8.2 mm
Nimbus Arc Ultra,Nimbus Tech,Smartphone,Nimbus Tech,1099,ArenaOS 15,185,149.6 x 71.5 x 7.8 mm
Orbit Prism Mini,Orbit Devices,Smartphone,Orbit Devices,499,ArenaOS 15,188,161.7 x 74.2 x 8.4 mm
Prism Horizon,Prism Labs,Smartphone,Prism Labs,849,ArenaOS 15,214,163.2 x 76.4 x 8.6 mm
Echo Slate 2,Echo Systems,Smartphone,Echo Systems,699,ArenaOS 15,178,158.4 x 73.8 x 7.9 mm
Volt Spark 5,Volt Mobile,Smartphone,Volt Mobile,399,ArenaOS 15,182,160.1 x 75.2 x 8.3 mm
Nimbus Play One,Nimbus Tech,Smartphone,Nimbus Tech,549,ArenaOS 15,190,161.0 x 74.8 x 8.1 mm
Orbit Edge Max,Orbit Devices,Smartphone,Orbit Devices,749,ArenaOS 15,205,164.5 x 77.0 x 8.5 mm
Prism Rush Lite,Prism Labs,Smartphone,Prism Labs,449,ArenaOS 15,176,157.8 x 72.9 x 7.7 mm
Echo Nova Fold,Echo Systems,Smartphone,Echo Systems,1299,ArenaOS 15,225,168.2 x 79.4 x 9.1 mm
